hs6,category,description,tier,list,effective,act,imposed_by,act_url,source
851762,"Comms, navigation, passive components",Voice/data transmission and switching apparatus,2,CHP,2022-03-16,Reg (EU) 2022/0428,32022R0428,http://publications.europa.eu/resource/celex/32022R0428,eurlex
851769,Electronic components,Apparatus for wired/wireless voice and data transmission,3.A,CHP,2022-03-16,Reg (EU) 2022/0428,32022R0428,http://publications.europa.eu/resource/celex/32022R0428,eurlex
852691,"Comms, navigation, passive components",Radio navigational aid apparatus,2,CHP,2022-03-16,Reg (EU) 2022/0428,32022R0428,http://publications.europa.eu/resource/celex/32022R0428,eurlex
852910,Electronic components,Aerials and aerial reflectors,3.A,CHP,2022-03-16,Reg (EU) 2022/0428,32022R0428,http://publications.europa.eu/resource/celex/32022R0428,eurlex
870422,Vehicles and trailers,"Motor vehicles for goods, diesel, 5-20t",NA,Industrial,2022-04-09,Reg (EU) 2022/0576,32022R0576,http://publications.europa.eu/resource/celex/32022R0576,eurlex
871620,Vehicles and trailers,Trailers and semi-trailers,NA,Industrial,2022-04-09,Reg (EU) 2022/0576,32022R0576,http://publications.europa.eu/resource/celex/32022R0576,eurlex
901310,"Bearings, optics, navigation instruments",Telescopic sights and periscopes,3.B,CHP,2022-04-09,Reg (EU) 2022/0576,32022R0576,http://publications.europa.eu/resource/celex/32022R0576,eurlex
901380,"Bearings, optics, navigation instruments",Other optical devices,3.B,CHP,2022-04-09,Reg (EU) 2022/0576,32022R0576,http://publications.europa.eu/resource/celex/32022R0576,eurlex
848220,"Bearings, optics, navigation instruments",Tapered roller bearings,3.B,CHP,2022-07-22,Reg (EU) 2022/1269,32022R1269,http://publications.europa.eu/resource/celex/32022R1269,eurlex
854110,Electronic components,Diodes (non-LED),3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854121,Electronic components,Transistors (<1W dissipation),3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854129,Electronic components,Other transistors,3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854149,Electronic components,Photosensitive semiconductor devices,3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854151,Electronic components,Semiconductor-based transducers,3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854159,Electronic components,Other semiconductor devices,3.A,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854231,Integrated circuits,"Processors, controllers, converters, logic circuits",1,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854232,Integrated circuits,Memory integrated circuits,1,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854233,Integrated circuits,Amplifier integrated circuits,1,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
854239,Integrated circuits,Other integrated circuits,1,CHP,2022-10-07,Reg (EU) 2022/1904,32022R1904,http://publications.europa.eu/resource/celex/32022R1904,eurlex
847150,Electronic components,Processing units for data systems,3.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
847180,Electronics manufacturing and test equipment,Data-processing machine units,4.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
853224,"Comms, navigation, passive components",Ceramic dielectric multilayer capacitors,2,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
853400,Electronics manufacturing and test equipment,Printed circuits,4.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
853669,Electronic components,Plugs and sockets (<=1000V),3.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
853690,Electronic components,Electrical switching apparatus (<=1000V),3.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
854160,Electronic components,Mounted piezo-electric crystals,3.A,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
854800,"Comms, navigation, passive components",Electrical machinery parts not elsewhere specified,2,CHP,2022-12-17,Reg (EU) 2022/2474,32022R2474,http://publications.europa.eu/resource/celex/32022R2474,eurlex
845710,CNC machine tools,Numerically controlled machining centres,4.B,CHP,2023-02-26,Reg (EU) 2023/0427,32023R0427,http://publications.europa.eu/resource/celex/32023R0427,eurlex
845961,CNC machine tools,Numerically controlled metal milling machines,4.B,CHP,2023-02-26,Reg (EU) 2023/0427,32023R0427,http://publications.europa.eu/resource/celex/32023R0427,eurlex
846693,CNC machine tools,Machine parts and accessories (headings 8456-8461),4.B,CHP,2023-02-26,Reg (EU) 2023/0427,32023R0427,http://publications.europa.eu/resource/celex/32023R0427,eurlex
848210,"Bearings, optics, navigation instruments",Ball bearings,3.B,CHP,2023-02-26,Reg (EU) 2023/0427,32023R0427,http://publications.europa.eu/resource/celex/32023R0427,eurlex
