rivi_id,myymala,ketju,kunta,maakunta,alueosuuskauppa,aloituspaiva,aloitus_tarkkuus,lopetuspaiva,tila,huomiot,lahde_id
1,Alepa Otaniemi,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-12,päivä,2022-10-31,pilotti (päättynyt),"Suomen ensimmäinen ruoan robottitoimitusmyymälä. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022. Ei mainittu 2023 uudelleenkäynnistyksen nimetyissä myymälöissä.",L03;L04;L05
2,Alepa Mankkaa,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-19,viikko,2022-10-31,pilotti (päättynyt),"Toimitukset alkoivat Otaniemeä seuraavalla viikolla. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022.",L03;L05
3,Alepa Jousenpuisto,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-19,viikko,2022-10-31,pilotti (päättynyt),"Toimitukset alkoivat Otaniemeä seuraavalla viikolla. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022. Ei mainittu 2023 uudelleenkäynnistyksen nimetyissä myymälöissä.",L03;L05
4,Alepa Laajalahti,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-19,viikko,2022-10-31,pilotti (päättynyt),"Toimitukset alkoivat Otaniemeä seuraavalla viikolla. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022.",L03;L05
5,Alepa Leppävaara,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-19,viikko,2022-10-31,pilotti (päättynyt),"Toimitukset alkoivat Otaniemeä seuraavalla viikolla. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022. Ei mainittu 2023 uudelleenkäynnistyksen nimetyissä myymälöissä.",L03;L05
6,Alepa Matinkylä,Alepa,Espoo,Uusimaa,HOK-Elanto,2022-04-19,viikko,2022-10-31,pilotti (päättynyt),"Toimitukset alkoivat Otaniemeä seuraavalla viikolla. Alepan/Starshipin pilotti keväällä 2022 (60 robottia, 6 Alepaa Espoossa, tilaus Starshipin omalla sovelluksella); pilotti päättyi 31.10.2022.",L03;L05
7,Alepa Laajalahti,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
8,Alepa Mankkaa,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
9,Alepa Matinkylä,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
10,Alepa Kilo,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
